,PcEcPc,liEcPc,temperature,conductivity,PI_uncertainty,upper_confidance,lower_confidance
0,0.0994548157938212,0.0997014925373134,60.0,0.00598716076452735,0.005881380491532398,0.008922285391655398,0.0030409049001229992
1,0.108610267635883,0.0997014925373134,60.0,0.00600469734149308,0.0058813774426302486,0.008937729192796754,0.003056351750166506
2,0.1177657194779448,0.0997014925373134,60.0,0.006021971022827538,0.005881316116193282,0.008952906151146375,0.0030715900349530933
3,0.1269211713200066,0.0997014925373134,60.0,0.006038776247902811,0.005881198493378995,0.008967811554111726,0.0030866130607327315
4,0.1360766231620684,0.0997014925373134,60.0,0.0060553302768802855,0.005881026555344885,0.008982440689100275,0.00310141413375539
5,0.1452320750041301,0.0997014925373134,60.0,0.006071545385690179,0.005880802283248444,0.008996788843519482,0.003115986560271038
6,0.1543875268461919,0.0997014925373134,60.0,0.006087299515064436,0.005880527658247174,0.009010851304776819,0.003130323646529645
7,0.1635429786882537,0.0997014925373134,60.0,0.006102697377639032,0.005880204661498564,0.009024623360279746,0.0031444186987811817
8,0.1726984305303155,0.0997014925373134,60.0,0.006117658702056775,0.005879835274160116,0.009038100297435733,0.003158265023275616
9,0.1818538823723773,0.0997014925373134,60.0,0.006132281143274503,0.005879421477389318,0.00905127740365224,0.0031718559262629217
10,0.1910093342144391,0.0997014925373134,60.0,0.006146534141769433,0.0058789652523436745,0.009064149966336737,0.0031851847139930623
11,0.2001647860565009,0.0997014925373134,60.0,0.006160365358791329,0.005878468580180675,0.009076713272896688,0.0031982446927160133
12,0.2093202378985627,0.0997014925373134,60.0,0.0061738779555490075,0.005877933442057818,0.009088962610739559,0.0032110291686817402
13,0.2184756897406245,0.0997014925373134,60.0,0.006186947337862635,0.005877361819132598,0.009100893267272812,0.003223531448140214
14,0.2276311415826863,0.0997014925373134,60.0,0.006199576874435964,0.005876755692562509,0.009112500529903915,0.003235744837341406
15,0.2367865934247481,0.0997014925373134,60.0,0.0062118762320557235,0.005876390625562746,0.009124053268098028,0.003247662642535282
16,0.2459420452668098,0.0997014925373134,60.0,0.006223797182914898,0.005876390625562745,0.009135668795534561,0.003259278169971816
17,0.2550974971088716,0.0997014925373134,60.0,0.006235344856859878,0.005876390625562747,0.009146975351463721,0.003270584725900974
18,0.2642529489509334,0.0997014925373134,60.0,0.006246445466220626,0.005876390625562746,0.009157966242135475,0.0032815756165727288
19,0.2734084007929952,0.0997014925373134,60.0,0.0062571297744497345,0.005876390625562746,0.009168634773799793,0.0032922441482370474
20,0.282563852635057,0.0997014925373134,60.0,0.006267430652258732,0.005876390625562746,0.009178974252706647,0.0033025836271439006
21,0.2917193044771188,0.0997014925373134,60.0,0.0062773089945501745,0.005876390625562745,0.009188977985106005,0.0033125873595432594
22,0.3008747563191806,0.0997014925373134,60.0,0.006286757276049113,0.005876390625562746,0.009198639277247837,0.003322248651685091
23,0.3100302081612424,0.0997014925373134,60.0,0.006295783393248344,0.005876390625562746,0.009207951435382113,0.003331560809819367
24,0.3191856600033042,0.0997014925373134,60.0,0.006304384585785514,0.005876390625562746,0.009216907765758802,0.0033405171401960556
25,0.3283411118453659,0.0997014925373134,60.0,0.006312564388617553,0.005876390625562747,0.009225501574627874,0.0033491109490651266
26,0.3374965636874277,0.0997014925373134,60.0,0.006320312573053313,0.005876390625562746,0.009233726168239297,0.0033573355426765508
27,0.3466520155294895,0.0997014925373134,60.0,0.0063275915604875665,0.005876390625562746,0.009241574852843043,0.0033651842272802972
28,0.3558074673715513,0.0997014925373134,60.0,0.006334404090448872,0.005876390625562747,0.009249040934689083,0.003372650309126336
29,0.3649629192136131,0.0997014925373134,60.0,0.006340839188758037,0.005876390625562747,0.009256117720027383,0.0033797270944646357
30,0.3741183710556749,0.0997014925373134,60.0,0.00634679679250977,0.005876390625562747,0.009262798515107914,0.003386407889545167
31,0.3832738228977367,0.0997014925373134,60.0,0.006352309094852014,0.005876390625562746,0.009269076626180645,0.0033926860006178988
32,0.3924292747397985,0.0997014925373134,60.0,0.006357382283101404,0.005876390625562746,0.009274945359495546,0.0033985547339327998
33,0.4015847265818603,0.0997014925373134,60.0,0.006362005750075716,0.005876390625562746,0.009280398021302589,0.0034040073957398425
34,0.4107401784239221,0.0997014925373134,60.0,0.006366156269644844,0.005876390625562746,0.00928542791785174,0.0034090372922889935
35,0.4198956302659838,0.0997014925373134,60.0,0.00636987806120615,0.005876390625562745,0.00929002835539297,0.0034136377298302255
36,0.4290510821080456,0.0997014925373134,60.0,0.006373093428691119,0.005876390625562746,0.009294192640176252,0.003417802014613506
37,0.4382065339501074,0.0997014925373134,60.0,0.006375849226977681,0.005876390625562746,0.009297914078451552,0.0034215234528888055
38,0.4473619857921692,0.0997014925373134,60.0,0.006378131209790751,0.005876390625562746,0.009301185976468838,0.003424795350906092
39,0.456517437634231,0.0997014925373134,60.0,0.006379933697170957,0.005876390625562745,0.009304001640478083,0.0034276110149153377
40,0.4656728894762928,0.0997014925373134,60.0,0.006381261300615998,0.005876390625562746,0.009306354376729258,0.003429963751166512
41,0.4748283413183546,0.0997014925373134,60.0,0.006382107906485763,0.005876390625562746,0.009308237491472329,0.0034318468659095824
42,0.4839837931604164,0.0997014925373134,60.0,0.006382461424921411,0.005876390625562746,0.009309644290957266,0.0034332536653945197
43,0.4931392450024782,0.0997014925373134,60.0,0.006382316297266398,0.005876390625562745,0.009310568081434038,0.003434177455871293
44,0.50229469684454,0.0997014925373134,60.0,0.0063816833794026855,0.005876390625562746,0.009311002169152621,0.003434611543589875
