Index,PcEcPc,liEcPc,temperature,cond_mean,cond_min,cond_max,nearest_PcEcPc,nearest_liEcPc,nearest_liEcPc_min,nearest_liEcPc_max,nearest_conductivity,nearest_conductivity_min,nearest_conductivity_max,exact_prediction
227,0.10013993,0.823472427,60,0.013426505,0.013100789,0.013683316,0.099454816,0.826336354,0.816244203,0.836428505,0.014380425,0.014375046,0.014383897,0.014333203
228,0.100944341,0.83212906,60,0.013299481,0.012868104,0.01352585,0.099454816,0.836428505,0.826336354,0.846520656,0.014383897,0.014380425,0.014384985,0.014285013
229,0.109512134,0.292150801,60,0.010684435,0.010036749,0.011025094,0.108610268,0.291452359,0.281360208,0.30154451,0.011409819,0.011270046,0.011540145,0.011396587
230,0.110279441,0.271920445,60,0.010749269,0.010215452,0.011739184,0.117765719,0.271268057,0.261175906,0.281360208,0.010959744,0.010810062,0.011097446,0.011093408
231,0.110478765,0.262004695,60,0.010691972,0.010188022,0.011871291,0.117765719,0.261175906,0.251083755,0.271268057,0.010810062,0.010646805,0.010959744,0.010933071
232,0.323299518,0.280226177,60,0.010344898,0.009861814,0.011619611,0.328341112,0.281360208,0.271268057,0.291452359,0.013869032,0.013817191,0.013910592,0.013860896
233,0.327887589,0.300625252,60,0.010182532,0.009757528,0.010608271,0.328341112,0.30154451,0.291452359,0.31163666,0.013943285,0.013910592,0.013968334,0.013940468
234,0.330359239,0.273001711,60,0.009679032,0.00930267,0.010174599,0.337496564,0.271268057,0.261175906,0.281360208,0.013805673,0.013739944,0.013859496,0.013826072
235,0.336842455,0.272217056,60,0.010294084,0.009947111,0.010581044,0.337496564,0.271268057,0.261175906,0.281360208,0.013805673,0.013739944,0.013859496,0.013812661
236,0.33722314,0.301752066,60,0.010363421,0.010184674,0.010719953,0.337496564,0.30154451,0.291452359,0.31163666,0.013937488,0.013902962,0.01396431,0.013938546
237,0.344755564,0.29358397,60,0.010277286,0.010045783,0.010620837,0.346652016,0.291452359,0.281360208,0.30154451,0.013877124,0.013831541,0.013913706,0.013892248
238,0.346060962,0.284250375,60,0.010146354,0.009679598,0.010575875,0.346652016,0.281360208,0.271268057,0.291452359,0.013831541,0.013775527,0.013877124,0.013847873
239,0.346792576,0.287756431,60,0.010907495,0.010155456,0.011767016,0.355807467,0.291452359,0.281360208,0.30154451,0.013834193,0.013786271,0.013873056,0.013861001
